,original_wb,mapped_wb
0,Imo,
1,Akwa Ibom,
2,Enugu,Enugu
3,Niger,Niger
4,Ogun,Ogun
5,Osun,
6,Kwara,Kwara
7,Rivers,Rivers
8,Taraba,Taraba
9,Zamfara,Zamfara
10,Adamawa,
11,Borno,Borno
12,Bayelsa,
13,Ondo,
14,Anambra,
15,Ebonyi,
16,Abia,Abia
17,Abuja,Federal Capital Territory
18,Bauchi,Bauchi
19,Benue,Benue
20,Edo,Edo
21,Ekiti,
22,Katsina,Katsina
23,Gombe,Gombe
24,Jigawa,Jigawa
25,Kaduna,Kaduna
26,Kebbi,Kebbi
27,Lagos,Lagos
28,Nassarawa,Nasarawa
29,Oyo,
30,Kogi,Kogi
31,Plateau,
32,Sokoto,Sokoto
33,Yobe,Yobe
34,Cross River,Cross River
35,Delta,
36,Kano,Kano
